,arabic,english
27881,الماء به صفر سعرات حرارية.,Water has zero calories.
27882,الماء به صفر سعرات حرارية.,Water has no calories.
27883,هل يوجد ماء هنا؟,Is there water there?
27884,هل الماء بارد؟,Is the water cold?
27885,تموت الأزهار بدون ماء.,Flowers die without water.
27886,مذاق هذا الماء طيب.,That water tastes good.
27887,يطفو الزيت فوق الماء.,Oil floats on water.
27888,الماء مهم جدا.,Water is very important.
27889,الماء جميل.,The water is beautiful.
27890,سقى توم الورود.,Tom watered the roses.
27891,هي تشرب الماء فقط.,She drinks only water.
27892,توم يشرب الماء فقط.,Tom only drinks water.
27893,تحتوي الزجاجة على الماء.,The bottle contains water.
27894,إسمي توم.,My name is Tom.
27895,إسمي توم.,My name's Tom.
27896,يعيش السمك في الماء.,Fish live in the water.
27897,مذاق هذا الماء طيب.,This water tastes good.
27898,السرير الذي جلست عليه لتوك هو سرير جدتي,The bed you just sat on is my grandmother's bed.
27899,إنه أسبوع منذ أن تقابل توم وماري,It's been a week since Tom and Mary met.
27900,متى بدأت,When did you begin?
27901,هل أنتي ماري؟,Are you Mary?
27902,لننتظر حتى يستيقظ,Let's wait until he wakes up.
27903,توم سيغادر الشركة في نهاية العام.,Tom will leave the company at the end of the year.
27904,توم وماري أخبرا جون أنهما يريدانه أن يجالس طفلهما,Tom and Mary told John that they wanted him to babysit their children.
27905,أخبر توم وماري أنني قادم لرؤيتهما,Tell Tom and Mary I'm coming to see them.
27906,سامي لم يرد أبدا أن يكون هكذا,Sami never wanted to be like that.
27907,توم يكره الذهاب إلى المدرسة,Tom hates going to school.
27908,إنه يبدو محبطا بسبب النتائج,He seemed disappointed with the results.
27909,توم أخبرني أنه اعتقد أن ماري تريد القيام بذلك,Tom told me he thought Mary wanted to do that.
27910,أنا أصدق أنك تريد أن تساعد,I believe you want to help.
27911,توم لم يرد أن يرقص مع ماري,Tom didn't want to dance with Mary.
27912,كانت الكلاب تنبح طوال الليل.,The dogs barked all night.
27913,كان سامي يتحدّث بسرعة.,Sami was talking quickly.
27914,أريد هذه الكاميرا.,I'd like to have this camera.
27915,هل يمكنني أكل هذه التفاحة؟,Can I eat that apple?
27916,لمَ لم تتذكر؟,Why didn't you remember?
27917,لا أظنه ينوي الذهاب معنا.,I don't think he plans to go with us.
27918,لا أظنه ينوي الذهاب معنا.,I don't think he intends to go with us.
27919,جيم ليس محاميا، بل هو طبيب.,Jim's not a lawyer. He's a doctor.
27920,جيم ليس محام بل هو طبيب .,Jim's not a lawyer. He's a doctor.
27921,اشرب الحليب!,Drink milk!
27922,يشرب توم الحليب.,Tom drinks milk.
27923,أكمل حليبك.,Finish your milk.
27924,هو يكره الحليب.,He hates milk.
27925,هذه فرصتكِ لتجربة هذا.,This is your chance to try this.
27926,سأبذل ما بوسعي من أجل مساعدة ولدك.,I'll try my best to help your son.
27927,هذا كتاب ذو صفحات كثيرة.,This is a book with a lot of pages.
27928,لا أستطيع ركوب هذا الحصان.,I can't ride this horse.
27929,هل سيكون هناك أحد بانتظاري؟,Will there be anyone waiting for me?
27930,سأُحَلِق إلى المانيا.,I'll be flying to Germany.
27931,قرأت الكتاب.,I read the book.
27932,ماذا تنصحني أن أفعل؟,What would you advise me to do?
27933,ماذا تنصحني أن أفعل؟,What do you suggest that I do?
27934,ماذا تنصحني أن أفعل؟,What do you suggest I do?
27935,لا أريد أن أعمل.,I do not want to work.
27936,لا أريد العمل.,I do not want to work.
27937,لديّ زكام شديد.,I have a bad cold.
27938,هل تعمل اليوم؟,Are you working today?
27939,لديّ حساسيّة من الحليب.,I'm allergic to milk.
27940,لديّ حساسيّة من الحليب.,I have an allergy to milk.
27941,إنها لا تحتاج إلى أن تعمل.,She does not need to work.
27942,أنا ولد.,I'm a boy.
27943,أنا ولد.,I'm a child.
27944,أنا ولد.,I am a child.
27945,أنا ولد.,I'm a kid.
27946,هل عليك أن تعمل يوم الأحد؟,Do you need to work on Sunday?
27947,اشرب الحليب!,Drink the milk!
27948,أعرف أنك لست بغبي.,I know that you aren't stupid.
27949,أعرف أنك لست بغبي.,I know you're not stupid.
27950,أعرف أنك لست بغبي.,I know you aren't stupid.
27951,أعرف أنك لست بغبي.,I know that you're not stupid.
27952,نسيت عنوان توم.,I forgot Tom's address.
27953,سمعت امرأة تصرخ.,I heard a woman screaming.
27954,سمعت امرأة تصرخ.,I heard a woman scream.
27955,قل لتوم أن الكل حاضر هنا.,Tell Tom that everyone is here.
27956,علي بالذهاب غدا في الصباح.,I must leave tomorrow morning.
27957,يشرب توم الحليب.,Tom is drinking milk.
27958,عندي بطن الجعة.,I have a beer belly.
27959,الثلج يتساقط كل يوم.,Snow falls every day.
27960,الثلج يتساقط في الجبال.,Snow is falling on the mountains.
27961,الثلج يتساقط في الجبال.,Snow falls on the mountains.
27962,معاداة السامية هي اشتراكية الحمقى.,Antisemitism is the socialism of fools.
27963,أضف اللحم.,Add meat.
27964,كل اللحم.,Eat meat.
27965,يحتوي اللحم على البروتين.,Meat contains proteins.
27966,نريد لحما.,We want meat.
27967,أكلوا لحما.,They eat meat.
27968,اللحم غالي الثمن.,Meat is expensive.
27969,يريد لحما.,He wants meat.
27970,لحم أو سمك؟,Meat or fish?
27971,لديهم لحم.,They have meat.
27972,اللحم مجمد.,The meat is frozen.
27973,أنا لا آكل اللحم أبدا.,I never eat meat.
27974,يريد الكلب لحما.,The dog wants meat.
27975,ثمن اللحم باهظ في أيامنا هذه.,Meat is expensive nowadays.
27976,يشوي توم اللحم.,Tom is grilling meat.
27977,اللحم مطبوخ.,The meat is cooked.
27978,أحب اللحوم الحمراء.,I like red meat.
27979,اللحم باهظ الثمن.,The meat is expensive.
27980,أكلت اللحم.,I ate the meat.
27981,هل اللحم جيد؟,Is the meat good?
27982,أكلنا اللحم.,We eat the meat.
27983,هذا اللحم جيد.,This meat is good.
27984,يحب توشتلي لحم الأرنب.,Tochtli likes rabbit meat.
27985,لا يأكل أحد اللحم هنا.,Nobody here eats meat.
27986,رائحة هذا اللحم فظيعة.,The meat smells terrible.
27987,نادرا ما آكل اللحم.,I rarely eat meat.
27988,أنا آكل اللحم فقط.,I only eat meat.
27989,هل يأكل توم اللحم؟,Does Tom eat meat?
27990,يأكل الأسد اللحم.,The lion eats meat.
27991,اللحوم المصنعة سامة.,Processed meats are toxic.
27992,يأكل توم اللحم فقط.,Tom only eats meat.
27993,تأكل البومة اللحم.,The owl eats meat.
27994,نقعت ماري اللحم.,Mary marinated the meat.
27995,يأكل توم اللحم فقط.,Tom eats only meat.
27996,لا يأكل اللحم أبدا.,He never eats meat.
27997,أصبح اللحم سيئا.,The meat went bad.
27998,اللحم نيء.,The meat is uncooked.
27999,هذا اللحم لذيذ.,This meat is delicious.
28000,هذا اللحم منقوع.,This meat is marinated.
28001,أنت تأكل اللحم.,You are eating meat.
28002,اللحم غال جدا في أيامنا هذه.,Meat is very expensive nowadays.
28003,يبيعون السمك واللحم.,They sell fish and meat.
28004,أريد رغيف لحم.,I'd like meat loaf.
28005,كل اللحم كان سيئا.,All the meat was bad.
28006,أصبح هذا اللحم سيئا.,This meat has gone bad.
28007,هذا اللحم مشوي جيدا.,This meat is roasted well.
28008,أفضل السمك على اللحم.,I prefer fish to meat.
28009,انهار سعر اللحم.,The price of meat dropped.
28010,أصبح اللحم سيئا.,The meat has gone bad.
28011,تأكل اللحم الطري فقط.,She ate only lean meat.
28012,تبقي الثلاجة اللحم طازجا.,A refrigerator keeps meat fresh.
28013,لا أريد لحما.,I don't want meat.
28014,لا يأكلون اللحم.,They don't eat meat.
28015,هل أكل اللحوم الحمراء غير صحي؟,Is eating red meat unhealthy?
28016,الكنيسة بُنيت في القرن الخامس عشر.,The synagogue was built in the fifteenth century.
28017,أنت تأكل اللحم.,You eat meat.
28018,يأكل الأسد اللحم.,The lion is eating meat.
28019,نادرا ما آكل اللحم.,I seldom eat meat.
28020,أكلنا اللحم.,We ate the meat.
28021,أنا أعمل هنا. لست زائرا.,"I work here, I'm not a guest."
28022,هل هناك حياة على كوكب المريخ؟,Is there life on Mars?
28023,هل تعيشين في المغرب يا ثيزيري؟,"Do you live in Morocco, Tiziri?"
28024,أنا أعيش في المغرب.,I live in Morocco.
28025,يعيش ييذير في المغرب.,Yidir lives in Morocco.
28026,تعيش ثيزيري في المغرب.,Tiziri lives in Morocco.
28027,نحن نعيش في المغرب.,We live in Morocco.
28028,يعيشون في المغرب.,They live in Morocco.
28029,يعيش في المغرب.,He lives in Morocco.
28030,هل أنت تعيش في المغرب يا ييذير؟,"Do you live in Morocco, Yidir?"
28031,ثيللي و ثيزيري تعيشان في المغرب.,Tilelli and Tiziri live in Morocco.
28032,يعيش سامي في سوريا.,Sami lives in Syria.
28033,دمشق تَقع في سوريا.,Damascus is located in Syria.
28034,يعيش أحمد في مصر.,Ahmed lives in Egypt.
28035,أنا من الصين.,I'm from China.
28036,أين المطبخ؟,Where's the kitchen?
28037,أنا مجرية.,I'm Hungarian.
28038,أنا أبوك.,I am your father.
28039,اعمل من أجل العيش و لا تعش من أجل العمل.,"Work to live, don't live to work."
28040,توم حسب مصاريفَهُ.,Tom calculated his expenses.
28041,حسب علمي، كان طالبا جيدا.,"As far as I know, he was a good student."
28042,ليلى تعيش حسب تعاليم الكتاب المقدّس.,Layla lives by the teachings of the Bible.
28043,احب البنات,I like girls.
28044,احب البنات,I like the girls.
28045,لا تكن شرّيرا.,Don't be evil.
28046,لا أدري ماذا كان يمكنني أن أفعل لولا مجيئك لمساعدتي.,I don't know what I would have done if you hadn't come to help me.
28047,هي سافرت عبر أوروبا.,She travelled around Europe.
28048,ماذا قلت؟,What'd you say?
28049,تحول الحلم الأمريكي بالنسبة للكثيرين الى كابوس.,"For many, the American dream has become a nightmare."
28050,توم دائما ما يفاجئني.,Tom always surprises me.
28051,توم مازال غير موجود هنا.,Tom still isn't here.
28052,توم فخور جدا بماري أليس كذلك؟,"Tom is very proud of Mary, isn't he?"
28053,نحن ساعدنا الفقراء.,We helped the poor.
28054,سامي كان على فيسبوك.,Sami was on Facebook.
28055,لا أعرف ماذا أقول لأجعلك تشعر بشعور أفضل.,I don't know what to say to make you feel better.
28056,ربما سنسأل توم أن يوصي بشئ لك.,Perhaps we'll ask Tom to suggest something for you.
28057,لماذا يجب أن أوقف توم؟,Why should I stop Tom?
28058,سامي لديه ما يريد.,Sami had what he wanted.
28059,ماري قد فقدت الكثير من الوزن أليس كذلك؟,"Mary has lost a lot of weight, hasn't she?"
28060,توم وماري يخططان ان يغادرا في الساعة ٢:٣٠.,Tom and Mary are planning to leave at 2:30.
28061,أشك أنني سأنهي هذا اليوم.,I doubt I'll finish this today.
28062,لست قلقا بشأن توم. انا قلق بشأن ماري.,I'm not worried about Tom. I'm worried about Mary.
28063,هل هناك أي شخص آخر تريد التحدث إليه؟,Is there anyone else you want to talk to?
28064,أعتقد أنه على انتظار توم.,I think I should wait for Tom.
28065,توم قال أنه كان سعيدا لقيامه بذلك.,Tom said he was really glad he did that.
28066,توم وماري يستعدان.,Tom and Mary are getting ready.
28067,توم يفكر في نفسه فقط.,Tom is just thinking of himself.
28068,يجب ان تلتزم بنظامك الغذائي.,You must stick to your diet.
28069,تعرف أنني أحبك!,You know I love you!
28070,لا أستطيع أن أدع ذلك يحدث مجددا.,I can't let that happen again.
28071,ليسوا هنا حتى الآن.,They're not here yet.
28072,إنّهما معي.,These two are with me.
28073,نريد أن نشتري منزلًا جديدًا,We want to buy a new house.
28074,نحن نعيش في مجتمع.,We live in a society.
28075,زوجة ماري طبيبة.,Mary's wife is a doctor.
28076,أعلن مصطفى كمال أتاتورك قيام الجمهورية التركية في سنة 1923 م.,Mustafa Kemal Atatürk proclaimed the Turkish Republic in 1923.
28077,أعلن مصطفى كمال أتاتورك قيام الجمهورية التركية في سنة 1923 م.,Mustafa Kemal Ataturk proclaimed the Turkish Republic in the year of 1923.
28078,الأمازيغ فخورون بلغتهم.,Berbers are proud of their language.
28079,كل الخبز وشرب الماء.,Eat bread and drink water.
28080,ممتاز!,Wonderful!
28081,ممتاز!,Excellent!
28082,ممتاز!,Outstanding!
28083,عن ماذا يتحدث الكتاب؟,What is the book about?
28084,كل تفاحة حمراء.,Every apple is red.
28085,لنعد إلى الجزائر.,Let's go back to Algeria.
28086,لماذا ذهب إلى الجزائر؟,Why did he go to Algeria?
28087,"مبارك انت, يا رب, إلهنا, ملك العالم, الذي اختارنا من كل الأمم‎ ووهبنا توراته. مبارك انت, يا رب, معط التوراة.","Blessed are You, the Eternal, our God, King of the Universe, who has chosen us from all the nations and given us His Torah. Blessed are You, the Eternal, giver of the Torah."
28088,توم ليس ترامب.,Tom is not Trump.
28089,الجزائر أولا.,Algeria first!
28090,غادر الجزائر,He left Algeria.
28091,الجزائر لديها البدو الرحل,Algeria has nomads.
28092,الجزائر كبيرة.,Algeria is big.
28093,الجزائر تحد المغرب.,Algeria borders Morocco.
28094,هذه هي الجزائر.,This is Algeria.
28095,الجزائر تصدر النفط.,Algeria exports oil.
28096,الجزائر تدعم إيران.,Algeria supports Iran.
28097,الجزائر تنتج النفط.,Algeria produces oil.
28098,تنتج الجزائر التمور.,Algeria produces dates.
28099,الجزائر مثيرة للاهتمام.,Algeria is interesting.
28100,الجزائر تحد ليبيا.,Algeria borders Libya.
28101,الجزائر تحد ليبيا.,Algeria makes drones.
28102,بحثت عن الجزائر في جوجل.,I googled Algeria.
28103,تنتج الجزائر السيارات.,Algeria produces cars.
28104,تنتج الجزائر المركبات.,Algeria produces vehicles.
28105,الفاشيون مثل الأخضر بن كولة، نور الدين ختال، نعيمة صالحي، فيصل كرشوش و الانفصاليين لديهم دور محدود جدا في الساحة السياسية الجزائرية.,"Fascists like Lakhdar Benkoula, Noureddine Khettal, Naima Salhi, Faycal Kerchouche, and the separatists have a very limited role on the Algerian political scene."
28106,عندنا ستيغوصور.,We have a stegosaurus.
28107,"قال زعيم الهنود الحمر: ""دع الإنجليز و الفرنسيين يأخذون ما يشيؤون من الأرض."" ""لكنهم يريدون أن يستولوا على كل الأراضي الواقعة بيم المحيط الأطلسي و المحيط الهادي. أهذا معقول؟"" قال توم سائلا.","Let the English and the French take all the land they want, said the Indian chief. ""But they want to take all the land between the Atlantic Ocean and the Pacific Ocean. Is that OK?"" said Tom."
28108,"قال زعيم الهنود حمر: ""خذوا ما شئتم من الأرض. سيكون دائما ما يكفي من الأرض للبيض و الهنود الحمر."" فرد الجنرال قائلا: ""حقا؟ إذا نريد كل الأرض من المحيط المتجمد الشمالي إلى المحيط المتجمد الجنوبي.""","Take all the land you want. There will always be enough land for both white and Native American people, said the Indian chief. ""Really? So we want all the land from the Arctic Ocean to the Antarctic Ocean,"" said the general."
28109,لن أتمنى هذا لأحد.,I wouldn't wish this on anybody.
28110,هم يعلمون هذا كله.,They know all that.
28111,توجه إلى محطة حافلات الجزائر.,He headed for the Algiers bus station.
28112,توجه إلى محطة حافلات الجزائر العاصمة.,He headed for the Algiers bus station.
28113,توجه إلى محطة حافلات العاصمة.,He headed for the Algiers bus station.
28114,أحب قطك.,I love your cat.
28115,أحب قطتك.,I love your cat.
28116,أحب قطكم.,I love your cat.
28117,أحب قطتكم.,I love your cat.
28118,الصحافة العالمية تديرها مافيا الدواء. إحذروا مما تنشره.,The world press is run by the drug mafia. Beware of what it publishes.
28119,.مافيا الأدوية تعرقل كل من يسعى لايجاد لقاح ضد الفيروس التاجي,The drug mafia hinders everyone seeking to find a vaccine against coronavirus.
28120,.انتبهوا يا ناس. هناك مجرمين يسعون لتفشي الفيروس التاجي ليجنوا أموالا هائلة من بيع أدويتهم,"Be careful, people. There are criminals who seek the outbreak of the coronavirus to make huge money from selling their medications."
28121,يجب على المجتمع العالمي أن يتفطن للخدعة و يكشف عن النوايا الخبيثة لمافيا الأدوية في نشر الفيروس التاجي.,The world community must be aware of the hoax and denounce the malicious intentions of the drug mafia in the spread of the coronavirus.
28122,العبرية والفينيقية لغات كنعانية.,Hebrew and Phoenician are Canaanite languages.
28123,توم مترجم.,Tom is a translator.
28124,سامي مترجم.,Sami is a translator.
28125,لسوء الحظ كان إلى حد ما بطيء الاستيعاب.,Unfortunately he was a bit slow of apprehension.
28126,هل يوجد جمل لا يمكن ترجمتها اطلاقاً؟,Are there sentences that can not be translated at all?
28127,عد الي عشرة.,Count to one hundred.
28128,المئات يموتون كل يوم.,Hundreds die every day.
28129,لقد ادخرت مائه دولار.,She saved a hundred dollars.
28130,توم لديه مئات الكتب.,Tom has hundreds of books.
28131,لقد عد الي مائه.,He counted to one hundred.
28132,هل ثلاثمائة دولار كافي؟,Is three hundred dollars enough?
28133,هل ثلاثمئة دولاد تكفي؟,Is three hundred dollars enough?
28134,لقد عددت الي مئتان.,I counted to two hundred.
28135,اتفق مائه بالمئه.,I agree one hundred percent.
28136,لا يمكنها وضع كلمتين معًا بالإسبانية ، لكنها تدعي أنها في مستوى متوسط.,"She can't put two words together in Spanish, yet she claims that she's at an intermediate level."
28137,لا يمكنها وضع كلمتين معًا بالإسبانية ، لكنها تدعي أنها مستوها متوسط.,"She can't put two words together in Spanish, yet she claims that she's at an intermediate level."
28138,يقول بنفسه إنه ميؤوس منه تمامًا ، ولكن بصفته شخصًا يتمتع بمهارة متوسطة المستوى ، فمن المحتمل أن يكون بخير.,"He himself says he's completely hopeless, but as someone with an intermediate level skill, he will probably be fine."
28139,الديك يصيح.,The rooster is crowing.
28140,الديك يؤذن.,The rooster is crowing.
28141,اشترت مقشة.,She brought a broom.
28142,هل تعلم ان السلطعون يأكل الشراغف,Did you know carp eat tadpoles?
28143,هل تعتقد ان توم يفعل هذا الأن؟,Do you really think Tom is doing that now?
28144,ما هذا النهر,What river is this?
28145,توم عبر النهر.,Tom crossed the river.
28146,ما هذا النهر.,What river is this?
28147,الكل يشاهد كره القدم,Everyone is watching soccer.
28148,هل تحب كره القدم؟,Do you like soccer?
28149,نحن لاعبون كره القدم.,We're soccer players.
28150,هو مجنون بشأن كره القدم,He's crazy about soccer.
28151,ماتش كوره القدم غدا.,The soccer game is tomorrow.
28152,يحترق الورق بسهوله.,Paper burns easily.
28153,ينكسر الزجاج بسهوله.,Glass breaks easily.
28154,توم لا يندهش بسهولة.,Tom isn't easily surprised.
28155,كن اكثر مرونه.,Be more flexible.
28156,أنا واثق من نفسي.,I'm confident.
28157,لديها ثقة في توم.,She has confidence in Tom.
28158,ما الذي يجعلك واثق هكذا؟,What makes you so confident?
28159,"انا محتار, اهذا الطريق صحيح ام هذا؟",I'm confused: is this or that the right way?
28160,انا محتار.,I'm confused.
28161,شعر توم بالحيره.,Tom felt confused.
28162,كيف يمكنني الوصول إلى الملعب؟,How can I get to the stadium?
28163,كان يدخّن.,He smoked.
28164,قف مستقيم,Stand straight!
28165,اذهب مستقيم,Go straight.
28166,انظر امامك مباشره.,Look straight ahead.
28167,أاصيب اي احد؟,Anybody hurt?
28168,التفكير يؤلم.,Thinking hurts.
28169,هذا يؤلم.,That hurts.
28170,الحب يؤلم.,Love hurts.
28171,الرفض يؤلم.,Rejection hurts.
28172,معدتي تؤلمني.,My stomach hurts.
28173,"نعم, انها تؤلم.","Yes, it hurts."
28174,توم اذي نفسه.,Tom hurt himself.
28175,هل هذا يؤلم؟,Does this hurt?
28176,لقد اذيت رجلا.,You hurt a man.
28177,ساقي اليمني تؤلمني.,My right leg hurts.
28178,ابقي ذقنك مرفوعاً,Keep your chin up.
28179,ارفع رأسك.,Keep your chin up.
28180,لديه ندبه علي ذقنه.,He has a scar on his chin.
28181,لدي ندبتان على حاجبي الأيسر.,I have two scars on my left eyebrow.
28182,انتظر.,Hold on.
28183,هلا انتظرت من فضلك؟,Would you please hold on?
28184,رفع حاجبيه.,He raised his eyebrows.
28185,رفع حواجبه.,He raised his eyebrows.
28186,بايا قامت بعمل حاجبيها.,Baya did her eyebrows.
28187,حواجب توم كثيفه,Tom's eyebrows are quite bushy.
28188,استخدم قدميك.,Use your feet.
28189,أقدامي تؤلمني.,My feet hurt.
28190,نهض توم على قدميه.,Tom rose to his feet.
28191,شخص ما داس على قدمي.,Someone stepped on my foot.
28192,ذهب للمنزل علي رجله.,He went home on foot.
28193,مشي الطريق كله سيرا علي قدمه,He went the whole way on foot.
28194,علم البرازيل فيه اربعه الوان : اخضر و اصفر و ازرق و ابيض.,"The flag of Brazil has four colors: green, yellow, blue and white."
28195,لم يكن توم جيد بالمباره,Tom wasn't good at math.
28196,كم عدد الدونت التي تريد,How many donuts do you want?
28197,هل تعرف كيف تستخدم فأس,Do you know how to use an ax?
28198,توم اشتكي من المغص بعدما اكل ما طبخته ماري.,Tom complained of a stomachache after eating what Mary cooked.
28199,توم اشتكي من الم المعده بعدما اكل ما طبخته ماري.,Tom complained of a stomachache after eating what Mary cooked.
28200,قال توم انه اصيب بمغص بعد اكل ما طبخته ماري.,Tom said that he had a stomachache after eating what Mary cooked.
28201,اوراق الشجر تتغير لونها.,The leaves are changing color.
28202,لم يكن توم مرتديا بدله رماديه.,Tom wasn't wearing a gray suit.
28203,سيكون اسرع اذا ذهبنا بالمترو.,It'll be faster to go by subway.
28204,توم لديه شعر رمادي.,Tom has gray hair.
28205,توم و ماري كانو جيران.,Tom and Mary were neighbors.
28206,سافرنا عبر جنوب فرنسا.,We traveled through the south of France.
28207,ماركو ذهب الي نادي ليلي مع جاره.,Markku went with a neighbor to a nightclub.
28208,ذهب ماركو الي نادي ليلي مع جاره,Markku went with a neighbor to a nightclub.
28209,لا احب هذه القبعه. افضل الرماديه اكثر,I don't like this hat. I prefer the gray one.
28210,تستطيع الغواصه ان تغوص الي 300 متر.,The submarine can dive up to 300 meters.
28211,هل يمكنك أن تقدم لي خدمة صغيرة؟,Could you do me a small favor?
28212,أنا أقل بقليل من 150 سم.,I'm just under 150 centimeters tall.
28213,أنا أقل بقليل من 150 سنتي متر.,I'm just under 150 centimeters tall.
28214,لا يريد توم الذهاب الي المدرسه بعد الان,Tom doesn't want to go to school anymore.
28215,هل سبق لك أن رأيت سمكة قرش يزيد طولها عن ثلاثة أمتار؟,Have you ever seen a shark over three meters long?
28216,توم و ماري عاشا في هذا الحي لفتره طويله,Tom and Mary have lived in this neighborhood for a long time.
28217,اثني ركبتيك.,Bend your knees.
28218,ركبتي تؤلمني.,My knee hurts.
28219,الم ركبتي.,My knee aches.
28220,ركبتي تنزف.,My knee is bleeding.
28221,مسحت ماري جبهتها.,Mary wiped her forehead.
28222,قبل جبهتها.,He kissed her forehead.
28223,صفعها,He slapped her.
28224,"هل ستقوم ""فلسطين المحتله"" بضرب ايران؟",Will Israel attack Iran?
28225,"هل ستقوم ايران بضرب ""فلسطين المحتله""",Will Iran attack Israel?
28226,فلسطين المحتله دوله متقدمه,Israel is a developed country.
28227,توم احب ماري من اول نظره.,Tom started falling in love with Mary the minute he laid eyes on her.
28228,كان ابي دائما يقول أنك تضايق فقط الأشخاص الذين تحبهم.,My father used to always say that you only tease the ones you love.
28229,أي نوع من النساء يمكن أن يحب مثل هذا الرجل؟,What kind of woman could love such a man?
28230,هذا ما احب ان افعله.,This is what I love to do.
28231,انا اعرف انك لا تحبيني,I know you're not in love with me.
28232,أعلم أنك لا تحبني.,I know you're not in love with me.
28233,أحب سماع الموسيقى معك.,I love playing music with you.
28234,احب المنافسه معك.,I love competing with you.
28235,"انت تعلم اني احبك, اليس كذلك.","You know that I'm in love with you, don't you?"
28236,احب العمل معك.,I love working with you.
28237,قال توم انه كان يأمل ان يسافر هو و ماري معا.,Tom said he was hoping he and Mary could travel together.
28238,ليس لدي وقت للاكل الان.,I don't have time to eat now.
28239,كان توم دكتور جامعي.,Tom was a college professor.
28240,لماذا يجب علي توم الجلوس في الخلف اليوم؟,Why does Tom have to sit in the back today?
28241,لا يمكنني إقراض توم في الوقت الحالي.,I can't lend Tom any money right now.
28242,توم وماري ينظفان غرفهما.,Tom and Mary are cleaning their rooms.
28243,"توم و ماري كانا جاهزين, اعتقد ذلك.","Tom and Mary are ready, I think."
28244,أتساءل ما إذا كان توم وماري جائعين.,I wonder whether Tom and Mary are hungry.
28245,.سألني توم إن كنت أعرف كيف أصل إلى منزله.,Tom asked me if I knew how to get to his house.
28246,لقد لويت كاحلي.,I twisted my ankle.
28247,توم لوي كاحله.,Tom twisted his ankle.
28248,هذا هو شكل مفصل الكاحل.,This is the shape of the ankle joint.
28249,لوى ذراعي.,He twisted my arm.
28250,كف عن لوي ذراعي!,Stop twisting my arm!
28251,لن العب لانني لويت ذراعي.,I won't play because I've twisted my ankle.
28252,هذا اصبعي.,That was my finger.
28253,حرقت اصبعي.,I burned my finger.
28254,اتبع اصبعي.,Follow my finger.
28255,انظر حيث ااشر.,Follow my finger.
28256,لقد قطعت اصبعي.,I've cut my finger.
28257,لقد قطعت اصبعي.,I have cut my finger.
28258,اصبعي الصغير متورم,My little finger is swollen.
28259,هل كسرتها؟,Did I break it?
28260,توم لا يخالف الوعود.,Tom never breaks promises.
28261,شفيت من الصداع.,My headache stopped.
28262,شفيت من الصداع.,My headache has gone.
28263,ما مدي سوء صداع رأسك,How bad is your headache?
28264,ما مدي قوه صداع رأسك,How bad is your headache?
28265,أنا أعارض ذلك بشدة,I'm firmly opposed to this.
28266,هذا هو الفرق بيني وبينك,That's the difference between you and me.
28267,إلى أين هم ذاهبون؟,Where are they going?
28268,نحن نعيش في جيبوتي.,We live in Djibouti.
28269,عندما اعتنق الإسلام ، كان ابنه طفلاً صغيراً,"When he converted to Islam, his son was a little baby."
28270,لم يكن رد فعلك مفاجئًا على الإطلاق,Your reaction wasn't surprising at all.
28271,أي نوع من الأشخاص أنت؟,What kind of a person are you?
28272,الصديق وقت الضيق,Adversity is the test of friendship.
28273,الصديقُ وقتَ الضيقِ.,Adversity is the test of friendship.
28274,الصديق وقت الضيق.,Adversity is the test of friendship.
28275,حرمني ألم في الأسنان من النوم.,A toothache deprived me of sleep.
28276,هل لديك الم في اسنانك,Do you have a toothache?
28277,هل تعاني من الم الاسنان,Do you have a toothache?
28278,نظف اسنانك.,Clean your teeth!
28279,يقبل خدها.,He kisses her cheek.
28280,قبلت خدي.,She kissed my cheek.
28281,المرأة لها خدود جميلة.,Women have beautiful cheeks.
28282,الكلب لعق خدها.,The puppy licked her on the cheek.
28283,كانت مجرد قبلة على الخد.,It was only a kiss on the cheek.
28284,فجأه شعرت بمغص.,Suddenly I felt a strong stomach ache.
28285,هل لديك اي شئ لعلاج المغص.,Do you have anything for a stomach ache?
28286,سرق المال.,Steal money.
28287,السرقة خطأ.,Stealing is wrong.
28288,انها سرقه.,It's stealing.
28289,توم يسرق الاشياء.,Tom steals stuff.
28290,سرقة المال.,Steal the money.
28291,انها مذنبه بالسرقه.,She is guilty of stealing.
28292,انها جافه,It's dry.
28293,أخبرنا بما يجب القيام به وسنفعله.,Tell us what is to do and we will do that.
28294,حاول تذكر ماذا حدث.,Try to remember what happened.
28295,كان سامي بشعر مجعد.,Sami had curly hair.
28296,سامي كان مجعد الشعر.,Sami had curly hair.
28297,شعرها مجعد بالطبيعه.,Her hair is naturally curly.
28298,شعرها مجعد بطبيعته.,Her hair is naturally curly.
28299,كف عن التحديق.,Stop staring.
28300,ماذا لو رفضت؟,What if I refuse?
28301,رفض توم الاستماع.,Tom refused to listen.
28302,لقد زرعت حقلي بالشعير.,I sowed my field with barley.
28303,انا لم ارى اي شيء.,I saw nothing.
28304,لقد رأيت دانا.,I saw Dana.
28305,رأيت كل شئ.,I saw everything.
28306,لقد رأيت كل شئ.,I saw everything.
28307,كما تعلمون جميعاً،‬ ‫‍نحن حالياً في خضمّ جائحة عالمية.,"As you all know, we are in the midst of a global pandemic."
28308,تلك الأسئلة على وشك أن يُجاب علي‍ها.‬‏,Those questions are about to be answered.
28309,هل غسلت شعر‍ك اليوم؟‬‏,Have you washed your hair today?
